filename,angle,region,sharpness_lap,rice_coverage,specular,reflection,quality_score
Philippines__05215_subset_overlap_1_0.jpg,aerial,Philippines,799,0.3994,0.00119,0.0083,7.729
Philippines__08714_subset_overlap_0_0.jpg,aerial,Philippines,973,0.5051,0.00174,0.0106,7.71
Philippines__08725_subset_overlap_1_1.jpg,aerial,Philippines,795,0.4497,0.00245,0.0045,7.697
Philippines__10071_subset_overlap_0_0.jpg,aerial,Philippines,720,0.4252,0.00152,0.0111,7.64
Philippines__08714_subset_overlap_1_0.jpg,aerial,Philippines,688,0.4045,0.00169,0.0018,7.635
Philippines__08714_subset_overlap_1_1.jpg,aerial,Philippines,875,0.3758,0.00327,0.0326,7.507
Philippines__05231_subset_overlap_1_0.jpg,aerial,Philippines,546,0.3953,0.00096,0.0016,7.396
Philippines__10071_subset_overlap_1_0.jpg,aerial,Philippines,701,0.4738,0.00131,0.0259,7.361
Philippines__08725_subset_overlap_1_0.jpg,aerial,Philippines,694,0.3111,0.00227,0.0021,7.359
Philippines__05215_subset_overlap_1_1.jpg,aerial,Philippines,863,0.6223,0.00057,0.0024,7.35
Philippines__10071_subset_overlap_1_1.jpg,aerial,Philippines,570,0.4332,0.00109,0.0226,7.301
Philippines__05452_subset_overlap_1_1.jpg,aerial,Philippines,793,0.37,0.00979,0.0282,7.264
Philippines__05231_subset_overlap_1_1.jpg,aerial,Philippines,619,0.5045,0.0006,0.0142,7.259
Philippines__16032_subset_overlap_0_1.jpg,aerial,Philippines,1601,0.617,0.01329,0.0553,7.241
Philippines__08725_subset_overlap_0_1.jpg,aerial,Philippines,652,0.5056,0.00133,0.0208,7.237
Philippines__00864_subset_overlap_1_0.jpg,aerial,Philippines,592,0.3471,0.0032,0.0087,7.227
Philippines__16115_subset_overlap_0_0.jpg,aerial,Philippines,806,0.4515,0.00946,0.0467,7.194
Philippines__15961_subset_overlap_0_0.jpg,aerial,Philippines,881,0.3119,0.00317,0.0593,7.12
Philippines__00864_subset_overlap_1_1.jpg,aerial,Philippines,577,0.3732,0.00343,0.0297,7.102
Philippines__08021_subset_overlap_1_1.jpg,aerial,Philippines,839,0.2664,0.01429,0.0091,7.065
Philippines__02721_subset_overlap_1_1.jpg,aerial,Philippines,485,0.3493,0.00436,0.004,7.042
Philippines__03384_subset_overlap_0_0.jpg,aerial,Philippines,713,0.2981,0.00739,0.0263,7.028
Philippines__08032_subset_overlap_0_0.jpg,aerial,Philippines,887,0.2484,0.00898,0.0321,7.017
Philippines__00864_subset_overlap_0_1.jpg,aerial,Philippines,629,0.362,0.00644,0.0377,7.017
Philippines__03384_subset_overlap_0_1.jpg,aerial,Philippines,704,0.3161,0.01125,0.0248,6.982
Philippines__00875_subset_overlap_1_1.jpg,aerial,Philippines,507,0.554,0.00167,0.0033,6.979
Philippines__00875_subset_overlap_1_0.jpg,aerial,Philippines,473,0.3924,0.0068,0.0237,6.923
Philippines__09962_subset_overlap_1_1.jpg,aerial,Philippines,588,0.5462,0.00064,0.0366,6.91
Philippines__03395_subset_overlap_1_0.jpg,aerial,Philippines,579,0.2219,0.00331,0.0014,6.902
Philippines__15845_subset_overlap_1_1.jpg,aerial,Philippines,356,0.4798,0.00035,0.005,6.858
Philippines__15845_subset_overlap_1_0.jpg,aerial,Philippines,319,0.4737,0.00141,0.0093,6.707
Philippines__15845_subset_overlap_0_1.jpg,aerial,Philippines,367,0.5247,0.00045,0.0114,6.706
Philippines__08725_subset_overlap_0_0.jpg,aerial,Philippines,383,0.2411,0.00052,0.0151,6.506
China-GX__T0004_SD_20130724130630_02_subset_overlap_3_1.jpg,aerial,China/GX,305,0.3121,0.00285,0.0101,6.462
China-GX__T0004_SD_20130722150630_02_subset_overlap_3_4.jpg,aerial,China/GX,235,0.3344,0.00061,0.0032,6.376
Philippines__05324_subset_overlap_1_1.jpg,aerial,Philippines,336,0.2146,0.00054,0.0105,6.335
China-HLJ__DSC_0029_subset_overlap_1_1.png,aerial,China/HLJ,230,0.4982,2e-05,0.0203,6.256
Philippines__05182_subset_overlap_1_0.jpg,aerial,Philippines,438,0.2486,0.00389,0.0567,6.244
China-JX__TD001_GXBS01_LS_20130426150230_01_subset_overlap_4_5.jpg,aerial,China/JX,287,0.1712,0.00055,0.0075,6.078
China-JX__TD001_GXBS01_LS_20130427130229_01_subset_overlap_3_5.jpg,aerial,China/JX,251,0.197,0.0,0.0114,6.0
China-HLJ__DSC_0009_subset_overlap_1_0.png,aerial,China/HLJ,282,0.666,5e-05,0.0197,5.982
China-JX__TD001_GXBS01_LS_20130427130229_01_subset_overlap_2_3.jpg,aerial,China/JX,282,0.2347,1e-05,0.0424,5.976
China-HLJ__DSC_0019_subset_overlap_1_0.png,aerial,China/HLJ,208,0.5747,0.0,0.0183,5.954
China-HLJ__DSC_0002_subset_overlap_1_0.png,aerial,China/HLJ,218,0.5129,5e-05,0.0505,5.917
China-HN__DSCF0166_subset_overlap_4_5.jpg,aerial,China/HN,137,0.4129,0.00299,0.0165,5.902
China-HLJ__DSC_0009_subset_overlap_0_0.png,aerial,China/HLJ,394,0.7218,0.00044,0.0582,5.84
China-GX__T0004_SD_20130722150630_02_subset_overlap_4_5.jpg,aerial,China/GX,166,0.2523,0.00012,0.0007,5.828
China-JX__TD001_GXBS01_LS_20130427130229_01_subset_overlap_4_5.jpg,aerial,China/JX,192,0.2329,2e-05,0.0167,5.797
China-HLJ__DSC_0030_subset_overlap_0_0.png,aerial,China/HLJ,158,0.5858,1e-05,0.0182,5.65
China-HN__DSCF0149_subset_overlap_5_4.jpg,aerial,China/HN,130,0.3925,0.00534,0.0353,5.583
China-HN__DSCF0149_subset_overlap_4_3.jpg,aerial,China/HN,140,0.3717,0.0047,0.0387,5.583
China-HN__DSCF0166_subset_overlap_3_5.jpg,aerial,China/HN,202,0.5721,0.01315,0.0228,5.57
China-HN__DSCF0149_subset_overlap_5_2.jpg,aerial,China/HN,132,0.4907,0.00723,0.0171,5.567
China-HLJ__DSC_0030_subset_overlap_1_0.png,aerial,China/HLJ,129,0.5822,0.0,0.0051,5.561
China-JX__TD001_GXBS01_LS_20130427130229_01_subset_overlap_4_3.jpg,aerial,China/JX,213,0.1845,0.0,0.0418,5.557
China-HLJ__DSC_0044_subset_overlap_1_1.png,aerial,China/HLJ,150,0.6108,8e-05,0.0146,5.552
China-HN__DSCF0149_subset_overlap_4_4.jpg,aerial,China/HN,131,0.311,0.00343,0.017,5.548
China-HN__DSCF0166_subset_overlap_5_5.jpg,aerial,China/HN,140,0.5074,0.01042,0.0189,5.491
China-HLJ__DSC_0028_subset_overlap_1_1.png,aerial,China/HLJ,151,0.6688,0.0,0.0033,5.488
China-HLJ__DSC_0030_subset_overlap_0_1.png,aerial,China/HLJ,180,0.6912,1e-05,0.0221,5.446
China-HLJ__DSC_0044_subset_overlap_0_1.png,aerial,China/HLJ,155,0.651,2e-05,0.0226,5.409
China-HLJ__DSC_0044_subset_overlap_0_0.png,aerial,China/HLJ,152,0.6123,8e-05,0.0347,5.4
China-HLJ__DSC_0044_subset_overlap_1_0.png,aerial,China/HLJ,132,0.6476,2e-05,0.0074,5.38
China-HLJ__DSC_0001_subset_overlap_1_0.png,aerial,China/HLJ,103,0.3597,8e-05,0.0417,5.333
China-HLJ__DSC_0028_subset_overlap_0_1.png,aerial,China/HLJ,179,0.6869,0.0,0.0417,5.299
China-HN__DSCF0247_subset_overlap_4_3.jpg,aerial,China/HN,177,0.619,0.00895,0.0455,5.228
China-HLJ__DSC_0049_subset_overlap_0_0.png,aerial,China/HLJ,99,0.6242,1e-05,0.002,5.201
China-HN__DSCF0149_subset_overlap_5_3.jpg,aerial,China/HN,132,0.5995,0.00545,0.0303,5.195
China-HLJ__DSC_0010_subset_overlap_0_1.png,aerial,China/HLJ,116,0.666,0.0,0.0132,5.152
China-HLJ__DSC_0049_subset_overlap_1_0.png,aerial,China/HLJ,89,0.6236,0.00106,0.0044,5.052
China-HLJ__DSC_0042_subset_overlap_1_1.png,aerial,China/HLJ,90,0.657,0.0,0.0011,5.027
China-HLJ__DSC_0049_subset_overlap_1_1.png,aerial,China/HLJ,99,0.6982,0.0,0.0046,4.969
China-HLJ__DSC_0010_subset_overlap_1_0.png,aerial,China/HLJ,87,0.6706,0.0,0.0035,4.938
China-GX__T0004_SD_20130504090635_01_subset_overlap_1_5.jpg,aerial,China/GX,91,0.1602,3e-05,0.0061,4.93
China-GX__T0004_SD_20130504090635_01_subset_overlap_2_8.jpg,aerial,China/GX,86,0.1616,6e-05,0.0004,4.924
China-HLJ__DSC_0010_subset_overlap_1_1.png,aerial,China/HLJ,101,0.6148,0.0,0.0432,4.922
China-GX__T0004_SD_20130502170631_01_subset_overlap_2_6.jpg,aerial,China/GX,90,0.1277,1e-05,0.0014,4.861
China-HLJ__DSC_0434_subset_overlap_0_1.png,aerial,China/HLJ,71,0.2047,0.0,0.0021,4.841
China-GX__T0004_SD_20130502170632_02_subset_overlap_5_6.jpg,aerial,China/GX,82,0.1473,1e-05,0.0017,4.828
China-HLJ__DSC_0042_subset_overlap_1_0.png,aerial,China/HLJ,76,0.6671,0.0,0.0025,4.823
China-HLJ__DSC_0046_subset_overlap_0_1.png,aerial,China/HLJ,79,0.6656,0.00072,0.0096,4.791
China-HLJ__DSC_00116_subset_overlap_1_1.png,aerial,China/HLJ,71,0.5425,2e-05,0.0455,4.756
China-HN__DSCF0083_subset_overlap_3_2.jpg,aerial,China/HN,89,0.1264,0.00042,0.0164,4.722
China-HLJ__DSC_0046_subset_overlap_0_0.png,aerial,China/HLJ,83,0.6995,3e-05,0.0191,4.673
China-HLJ__DSC_0046_subset_overlap_1_0.png,aerial,China/HLJ,68,0.6826,0.0,0.0017,4.664
China-HLJ__DSC_00116_subset_overlap_1_0.png,aerial,China/HLJ,64,0.5866,0.0,0.0304,4.657
China-HLJ__DSC_0046_subset_overlap_1_1.png,aerial,China/HLJ,78,0.7368,1e-05,0.0022,4.644
China-HLJ__DSC_00031_subset_overlap_1_1.png,aerial,China/HLJ,71,0.6536,0.00069,0.0243,4.594
China-HLJ__DSC_0036_subset_overlap_1_0.png,aerial,China/HLJ,73,0.7421,0.0,0.0,4.586
China-HLJ__DSC_0434_subset_overlap_0_0.png,aerial,China/HLJ,63,0.1428,0.0,0.0021,4.555
China-HLJ__DSC_0042_subset_overlap_0_0.png,aerial,China/HLJ,73,0.6486,0.0,0.0379,4.544
China-GX__T0004_SD_20130502170632_02_subset_overlap_6_9.jpg,aerial,China/GX,60,0.1417,1e-05,0.0036,4.483
China-HN__DSCF0083_subset_overlap_2_1.jpg,aerial,China/HN,73,0.1335,0.00081,0.026,4.454
China-HN__DSCF0083_subset_overlap_3_1.jpg,aerial,China/HN,68,0.1622,0.00021,0.031,4.443
China-HN__DSCF0083_subset_overlap_3_0.jpg,aerial,China/HN,77,0.1215,0.00026,0.0501,4.3
China-LN__LN_d92e686cfef3f6dc440484d817581dc_subset_overlap_1_1.jpg,front,China/LN,4466,0.2416,0.00879,0.0294,8.64
China-JL__JL_IMG_3568_subset_overlap_1_0.jpg,front,China/JL,1681,0.4394,0.00241,0.0008,8.505
China-GD__IMG_5140_subset_overlap_3_3.jpg,front,China/GD,1710,0.5022,0.00101,0.003,8.361
India__IMG_0639_subset_overlap_1_1.jpg,front,India,1937,0.4682,0.00779,0.0157,8.311
